Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,8.820000,8.990000,8.760000,8.810000,8.654530,66170800
2018-10-12,8.950000,8.950000,8.550000,8.640000,8.487530,59308500
2018-10-15,8.670000,8.850000,8.660000,8.810000,8.654530,40183200
2018-10-16,8.870000,8.890000,8.730000,8.800000,8.644706,36772000
2018-10-17,8.800000,8.860000,8.640000,8.760000,8.605412,48795100
2018-10-18,8.740000,8.760000,8.500000,8.510000,8.359823,59669200
2018-10-19,8.320000,8.530000,8.190000,8.500000,8.349999,59831100
2018-10-22,8.380000,8.450000,8.270000,8.410000,8.410000,39803500
2018-10-23,8.300000,8.640000,8.230000,8.590000,8.590000,55443300
2018-10-24,8.500000,8.600000,8.170000,8.180000,8.180000,58895100
2018-10-25,8.520000,9.000000,8.460000,8.990000,8.990000,90399200
2018-10-26,8.960000,9.060000,8.860000,8.980000,8.980000,100639800
2018-10-29,9.360000,9.590000,9.170000,9.280000,9.280000,92275100
2018-10-30,9.310000,9.560000,9.270000,9.460000,9.460000,58062000
2018-10-31,9.620000,9.670000,9.430000,9.550000,9.550000,68507100
2018-11-01,9.540000,9.550000,9.260000,9.290000,9.290000,59794400
2018-11-02,9.360000,9.450000,9.260000,9.380000,9.380000,48499200
2018-11-05,9.380000,9.570000,9.350000,9.530000,9.530000,41274300
2018-11-06,9.460000,9.570000,9.410000,9.540000,9.540000,40928600
2018-11-07,9.600000,9.600000,9.450000,9.600000,9.600000,37347400
2018-11-08,9.580000,9.650000,9.440000,9.460000,9.460000,55810100
2018-11-09,9.380000,9.800000,9.270000,9.380000,9.380000,52202500
